route,stops,types
51T,"TAMBARAM EAST,CONVENT,CAMP ROAD,BALAJI NAGAR (BHARATH ENG,MEPPADU HOSPITAL,AGARAM THEN,KOVILAMCHERRY VILLAGE,MADURAPAKKAM RD.JN.,PONMAR",ORD
17M Ext,"BROADWAY,CENTRAL,P.OR & SONS,T.V.S,GEMINI P.H,VETERINARY HOSPITAL,TRUSTPURAM,VADAPALANI B.S,SALIGRAMAN",ORD
65H,"RED HILLS,PAMMADUKULAM,JN.OF RACE COURSE RD,ALAMADHI OLD,DRY CATTLLE FORM,ALAMADHI,AMBEDKAR NAGAR,POOCHIATHIBEDU,GURUVOYAL KARANIBATTAI,MAGARAL KANDIGAI,TAMARAIPAKKAM,KASANOOR,KESAVA CROSS ROAD,PAKKAM,NASIC NAGAR,THIRUNINDRAVOOR,NEMILICHERI,PATTABIRAM,KAVARAIPALAYAM,AVADI",ORD
580,"AVADI,KAVARAIPALAYAM,PATTABIRAM,NEMILICHERI,THIRUNINDRAVOOR,N.S.K NAGAR,PAKKAM,KESAVA CROSS ROAD,KASANOOR,TAMARAIPAKKAM,POGALMEDU,VENGAL,ERNAKUPPMA,VADAMADURAI,VADAMADURAI KANDIGAI,PERIYAPALAYAM RD JN.,ANJATHAMMAN KOIL,KOSAVAMPETTAI,ARANI",EXP
M27T,"T.NAGAR,BHARATHI NAGAR(PERIYAR PA,TRUSTPURAM,VADAPALANI P.S,M.M.D.A.COLONY RD.JN.,KOYAMBEDU SCHOOL,THIRUMANGALAM,MOGAIPAIR ROAD JN.,AMBATHUR ESTATE,DUNLOP,AMB OT,ORAGADAM O.T.,ORAGADAM",ORD
M27V,"T.NAGAR,BHARATHI NAGAR(PERIYAR PA,TRUSTPURAM,VADAPALANI B.S,VIRUGAMBAKKAM,VALASARAVAKKAM,PERUMAL KOIL,KANDASAMY NAGAR,E.B.OFFICE,MADURAVOYAL,VAANAGARAM,VELAPPANCHAVADI,THIRUVERKADU",ORD
37 Cut,"V. NAGAR,REGAL,CHOOLAI P.O,LADY MCTM SCHOOL/MILLERS,K.M.C,STERLING Rd/METEOROLOGY D,UTHAMAR GANDHISALAI (CORP,MAHALINGAPURAM,TRUSTPURAM,VADAPALANI B.S,DASARATHAPURAM",ORD
05B Dlx,"MYLAPORE,DEVANATHAN ST / MANDAVELI,A.M.S.HOSPITAL,ADAYAR B.S.,ENG.COLLEGE,CONCORDE,SAIDAPET,T.NAGAR",ORD
05C Dlx,"BROADWAY,CENTRAL,P.OR & SONS,WESLEY H.S,C.I.T.COLONY,ADYAR GATE,KOTTURPURAM,KOTTUR NSK STATUE,WOMEN'S POLYTECHNIC,TARAMANI",ORD
70R,"AMBATHUR ESTATE,MOGAIPAIR ROAD JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,KALAIGNAR NAGAR,NEHRU NAGAR,RAMAPURAM",ORD
70S,"C.M.B.T.,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,GUINDY TVK ESTATE,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VELACHERY,I.R.T. RD.JN.,SRP TOOLS,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,PTC QUARTER / ESWARANTEMP,KANNAGI NAGAR S.C.BOARD",ORD
M27N,"ANNA SQUARE,TRIPLICANE,ANNA ROAD P.O./DAMS ROAD,POSTAL AUDIT OFFICE,STERLING ROAD,NUNGAMBAKKAM R.S,HOTEL ARUN,ANNA NAGAR CIRCLE,THIRUMANGALAM,FIRE STATION,MOGAPAIR EAST",ORD
M27H,"ANNA SQUARE,TRIPLICANE,ANNA ROAD P.O./DAMS ROAD,POSTAL AUDIT OFFICE,STERLING ROAD,NUNGAMBAKKAM R.S,HOTEL ARUN,ANNA NAGAR CIRCLE,THIRUMANGALAM,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI",ORD
M114T,"T.NAGAR,BHARATHI NAGAR(PERIYAR PA,TRUSTPURAM,VADAPALANI P.S,M.M.D.A.COLONY RD.JN.,KOYAMBEDU SCHOOL,THIRUMANGALAM,WEELS INDIA RD.JN.,WATER PIPE THANTHANKUPPAM,MALLIGAI NAGAR AVE,BUS BAY-17TH KM,CYCLE SHOP,KAVANGARAI,AAYURVEDA ASHRAMAM,RED HILLS,PADIYANALLUR",ORD
70K,"C.M.B.T.,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,GUINDY R.S,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VELACHERY,A.V.CONSTRUCTION,PONNIAMMAN KOIL RD. JN.,MADIPAKKAM RD. JN.,KILKATTALAI",ORD
M27E,"ELANGO NAGAR OFFICER COLO,COLLECTOR NAGAR,THIRUMANGALAM,ANNA NAGAR CIRCLE,AMINIJIKARAI,TAYLORS ROAD,T.B.INSTITUTE,EGMORE,PERIYAR BRIDGE,TRIPLICANE,ANNA SQUARE",ORD
70G,"AYANAVARAM B.S,KAMABAR ARANGAM,ANNA NAGAR EAST,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM",ORD
70B,"AVADI,POLYTECHNIC,THIRUMULLAIVOAYL,AMB OT,DUNLOP,AMBATHUR ESTATE,GOLDEN FLAT,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET",EXP
M44D,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,SATHIYAMOORTHY NAGAR,SLUM CLEARANCE BOARD,CORONATION NAGAR,I.O.C",ORD
M20H,"PERIYAR BRIDGE,EGMORE,T.B.INSTITUTE,TAYLORS ROAD,AMINIJIKARAI,ANNA NAGAR CIRCLE,THIRUMANGALAM,MOGAIPAIR ROAD JN.,AMBATHUR ESTATE,DUNLOP,AMB OT,VENGATAPURAM,KARAKKU",ORD
M20K,"AMBATHUR ESTATE,DUNLOP,AYYAPPA NAGAR,2ND WATER TANK ON SECOND,KONIMEDU RD. JN.,KOLADI SCHOOL,THIRUVERKADU",ORD
K70 AC,"MOGAPAIR WEST,GOLDEN FLAT,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,ST THOMAS MOUNT,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM",AC
M28,"THIRUVETRIYUR B.S,THIRUVOTRIYUR TEMPLE,THANGAL,TONDAIAYRPET,THEAGARAYA COLLEGE,V. NAGAR,REGAL,CENTRAL,P.OR & SONS,TRIPLICANE,ANNA SQUARE",ORD
M20L,"C.M.B.T.,KOYAMBEDU SCHOOL,THIRUMANGALAM,GOLDEN FLAT,AMBATHUR ESTATE,DUNLOP,AMB OT,VENGATAPURAM,KARAKKU",ORD
07G,"BROADWAY,CENTRAL,DOVETON,P1.POLICE STATION,VYASARPADI,PERAMBUR MARKET,MOOLAKADAI,SIDCO,KAVIARASU KANNADASAN NAGA",ORD
M20A,"BROADWAY,CENTRAL,DHARMAPRAKASH/PETROL BUNK,KELLEYS,SAYANI/AYNAVARAM,KAMABAR ARANGAM,NATHAMUNI TALKIES,LUCAS TVS,AMBATHUR ESTATE,MOGAIPAIR ROAD JN.,MOGAPAIR",ORD
M20C,"BROADWAY,CENTRAL,DHARMAPRAKASH/PETROL BUNK,KELLEYS,SAYANI/AYNAVARAM,KAMABAR ARANGAM,NATHAMUNI TALKIES,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT,ORAGADAM O.T.,ORAGADAM",ORD
M27,"T.NAGAR,BHARATHI NAGAR(PERIYAR PA,TRUSTPURAM,VADAPALANI B.S,VIRUGAMBAKKAM,CHINMAYA NAGAR,KOYAMBEDU P.S,C.M.B.T.","ORD,NGT"
M20E,"AMBATHUR ESTATE,DUNLOP,AYYAPPA NAGAR,AYAPAKKAM",ORD
M21,"VELACHERY,MADIPAKKAM RD. JN.,NARAYANAPURAM,MEDAVAKKAM COLONY,MEDAVAKKAM JN.,S.I.V.E.T,MAHALAKSHMI NAGAR,CONVENT,TAMBARAM",ORD
07E,"BROADWAY,CENTRAL,CHOOLAI P.O,KELLEYS,KILPAUK GARDEN,ANNA NAGAR CIRCLE,THIRUMANGALAM,MOGAIPAIR ROAD JN.,MOGAPAIR WEST,AMBATHUR ESTATE",ORD
11A,"V. NAGAR,CLIVE BATTERY,PARRYS,CENTRAL,P.OR & SONS,T.V.S,D.M.S,PONDY BAZAAR,T.NAGAR",ORD
M20P,"AMBATHUR ESTATE,DUNLOP,I.C.F.COLONY,MEL AYANAMBAKKAM,AYANAMBAKKAM,VAANAGARAM,VELAPPANCHAVADI,KUMUNANCHAVADI,POONAMALLEE",ORD
512,"RED HILLS,PADIYANALLUR,SEMILIVARAM,SHOLAVARAM,KARANODAI,PERIYAPALAYAM RD JN.,PANJETTI,THATCHUR KOOT ROAD,NEW ROAD,PUDUVOYAL,PERUVOYAL,KAVARAPED,JN.OF MAMBAKKAM RD & ATAN,THANDALACHERI,PALAVAKKAM CROSS ROAD,G.R.KANDIKAI,DIDEER NAGAR,POOVALAMBEDU,THANI POONDI,AMARAMBEDU,PANCHALAI,MADARAPAKKAM CROSS ROAD,MADARAPAKKAM BUS TERMINUS",EXP
514,"PERIYAPALAYAM,AVADI,JEYAPURAM,DHARMAPURAM KANDIGAI,KANNIGAIPEIR,MANCHANKARANAI,PANDY KAVANOOR JN.,SAKTHI VINAYAGAR KOIL,PERIYAPALAYAM RD JN.,KARANODAI,SHOLAVARAM,SEMILIVARAM,PADIYANALLUR,RED HILLS,AAYURVEDA ASHRAMAM,KAVANGARAI,CYCLE SHOP,BUS BAY-17TH KM,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,C.M.B.T.",EXP
27D Dlx,"FORE SHORE ESTATE,Q.M.C,V.M.STREET,U.S.I.S.,T.V.S,ANNA ROAD P.O./DAMS ROAD,EGMORE,DHARMAPRAKASH/PETROL BUNK,KELLEYS,SAYANI/AYNAVARAM,KAMABAR ARANGAM,VILLIVAKKAM",ORD
27B Dlx,"C.M.B.T.,ARUMBAKKAM,NADUVANKARAI,AMINIJIKARAI,TAYLORS ROAD,TB HOSPITAL,EGMORE,PERIYAR BRIDGE,TRIPLICANE O.T (CORPN. SC,ANNA SQUARE",ORD
55K,"TAMBARAM,T.B.SANATORIUM,CHROMPET,PALLAVARAM,PAMMAL,PAMMAL KAMARAJAPURAM,THIRUNEERMALAI,VAZHUTHALAMBEDU RD. JN,POLICE QUARTERS,KUNDRATHUR MURUGAN TEMPLE,KUNDRATHUR B.S,KOLLAICHERI,SIKKARAVARAM,MANGADU,KUMUNANCHAVADI,POONAMALLEE",ORD
38A,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,VYASARPADI,SARMA NAGAR,MOOLAKADAI,MADHAVARAM POST BOX,MADHAVARAM MILLK COLONY,MATHUR M.M.D.A.",ORD
27L Dlx,"ANNA SQUARE,TRIPLICANE,ANNA ROAD P.O./DAMS ROAD,POSTAL AUDIT OFFICE,STERLING ROAD,NUNGAMBAKKAM R.S,HOTEL ARUN,ANNA NAGAR CIRCLE,THIRUMANGALAM,MOGAIPAIR ROAD JN.,MOGAPAIR WEST",ORD
M65C Cut,"AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI CIRCLE,KAVARAIPALAYAM,PATTABIRAM,NEMILICHERI,THIRUNINDRAVOOR,NASIC NAGAR,PAKKAM",ORD
27H Dlx,"ANNA SQUARE,TRIPLICANE,ANNA ROAD P.O./DAMS ROAD,POSTAL AUDIT OFFICE,STERLING ROAD,NUNGAMBAKKAM R.S,HOTEL ARUN,ANNA NAGAR CIRCLE,THIRUMANGALAM,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI",ORD
157 Ext,"THIRUVETRIYUR B.S,THIRUVOTRIYUR TEMPLE,THANGAL,TONDAIAYRPET,KORUKKUPET P.S.,SLUM CLEARANCE BOARD,M.K.B.NAGAR,SARMA NAGAR,MOOLAKADAI,MADHAVARAM,CYCLE SHOP,KAVANGARAI,AAYURVEDA ASHRAMAM,RED HILLS,PADIYANALLUR",ORD
06A,"TOLLGATE,TONDAIAYRPET,THEAGARAYA COLLEGE,CLIVE BATTERY,PARRYS,CENTRAL,P.OR & SONS,TRIPLICANE,Q.M.C,FORE SHORE ESTATE,A.M.S.HOSPITAL,ADAYAR O.T.,ADAYAR DEPOT,BESANT NAGAR",ORD
06E,"TOLLGATE,ANNA NAGAR,ROYAPURAM P.S,CLIVE BATTERY,PARRYS,SECRETARIAT,CHEPAUK,Q.M.C,FORE SHORE ESTATE,A.M.S.HOSPITAL,ADAYAR O.T.,ADAYAR DEPOT,THIRUVANMIYUR",ORD
06D,"TOLLGATE,TONDAIAYRPET,THEAGARAYA COLLEGE,CLIVE BATTERY,PARRYS,SECRETARIAT,CHEPAUK,Q.M.C,FORE SHORE ESTATE,A.M.S.HOSPITAL,AVVAI HOME,BESANT NAGAR,INDIRA NAGAR,THIRUVANMIYUR",ORD
M37E Cut,"M.K.B.NAGAR,VYASARPADI,P1.POLICE STATION,DOVETON,EGMORE,MATERNITY HOSPITAL,D.P.I,UTHAMAR GANDHISALAI (CORP,VETERINARY HOSPITAL,TRUSTPURAM,VADAPALANI B.S",ORD
M121D,"MANALI NEW TOWN,ECHANKUZHI,ANDAKUPPAM,JN.,OF PONNERI RD,&ERANOO;,MANALI RD JN.,MANALAI SEEKADU,MADHAVARAM MILLK COLONY,MADHAVARAM POST BOX,MOOLAKADAI,MADHAVARAM,BUS BAY-17TH KM,MALLIGAI NAGAR AVE,THAZHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,C.M.B.T.",ORD
M64D,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,THEAGARAYA COLLEGE,TONDAIAYRPET,THANGAL,ELLAIAMMAN KOIL,T.V.T RLY GATE,MANALI RD JN.,MANALAI SEEKADU,KOSAPUR RD. JN.,,KOSAPPUR",ORD
M121C,"ENNORE,ASHOK LAYLAND,ERNAVOOR GATE,SATHIYAMOORTHY NAGAR,JN.,OF PONNERI RD,&ERANOO;,MANALI RD JN.,MANALAI SEEKADU,M.M.C,MADHAVARAM POST BOX,MOOLAKADAI,MADHAVARAM,BUS BAY-17TH KM,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,C.M.B.T.",ORD
M121A,"MANALI,MANALAI SEEKADU,MADHAVARAM MILLK COLONY,MADHAVARAM POST BOX,MOOLAKADAI,MADHAVARAM,BUS BAY-17TH KM,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,KOYAMBEDU P.S,KOYMABEDU MARKET",ORD
M52 Ext,"POZHICHALUR,PAMMAL,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO,OORAPAKKAM SCHOOL,PALAKKA COMPANY,GUDUVANCHERY",ORD
51N,"T.NAGAR,SAIDAPET,CONCORDE,GUINDY RACE COURCE OFFICE,SECRETARIAT COLONY,ST THOMAS MOUNT,VANUVAMBEDU,MADIPAKKAM RD. JN.,MOOVARASANPET",ORD
47D Dlx,"THIRUVANMIYUR,ADAYAR DEPOT,ADAYAR B.S.,ENG.COLLEGE,CONCORDE,SAIDAPET,T.NAGAR,VIVEK & CO (KRISHNAN KOIL,VIDYODAYA,STERLING ROAD,NUNGAMBAKKAM R.S,HOTEL ARUN,ANNA NAGAR CIRCLE,THIRUMANGALAM,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI",ORD
M150,"BROADWAY,CENTRAL,DASAPRAKASH,TAYLORS ROAD,AMINIJIKARAI,NADUVANKARAI,ARUMBAKKAM,NERKUNDRAM,MADURAVOYAL,VAANAGARAM,VELAPPANCHAVADI,THIRUVERKADU,SUNDARASOZHAPURAM,PARUTHIPATTU RD. JN.,GOVARDANAGIRI,AVADI MOSQUE,AVADI",ORD
M153,"C.M.B.T.,KOYAMBEDU P.S,KOYMABEDU MARKET,NERKUNDRAM,MADURAVOYAL,VAANAGARAM,VELAPPANCHAVADI,KUMUNANCHAVADI,POONAMALLEE,NAZARATHPET,THIRUMAZHISAI TEMPLE,JAI HIND MAT.SCHOOL,KAVALCHERY PANCHAYAT,VAYANALLUR,CHITHUKADU KOOT ROAD,AMUDURAMEDU,THANDARAI,PATTABIRAM",ORD
47A Dlx,"BESANT NAGAR,ADAYAR DEPOT,ADAYAR B.S.,ENG.COLLEGE,CONCORDE,SAIDAPET,T.NAGAR,PONDY BAZAAR,VIDYODAYA,STERLING ROAD,TAYLORS ROAD,KILPAUK GARDEN,I.C.F",ORD
24A AC,"ANNA NAGAR WEST,MAHARANI,BRINDAVAN COLONY,AMINIJIKARAI,TAYLORS ROAD,STERLING ROAD,GEMINI P.H,ROYAPETTA HOSPITAL,V.HOUSE",AC
47C Dlx,"KOTTURPURAM,ENG.COLLEGE,CONCORDE,SAIDAPET,T.NAGAR,BHARATHI NAGAR(PERIYAR PA,MAHALINGAPURAM,NUNGAMBAKKAM R.S,HOTEL ARUN,ANNA NAGAR CIRCLE,THIRUMANGALAM,MOGAIPAIR ROAD JN.,AMBATHUR ESTATE",ORD
M159,"THIRUVETRIYUR B.S,THIRUVOTRIYUR TEMPLE,THANGAL,TONDAIAYRPET,THEAGARAYA COLLEGE,V. NAGAR,REGAL,CHOOLAI P.O,LADY MCTM SCHOOL/MILLERS,TAYLORS ROAD,AMINIJIKARAI,NADUVANKARAI,ARUMBAKKAM,NERKUNDRAM,MADURAVOYAL,VAANAGARAM,VELAPPANCHAVADI,THIRUVERKADU",ORD
M70 AC,"C.M.B.T.,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,GUINDY R.S,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VIJAYA NAGAR,I.R.T. RD.JN.,SRP TOOLS,THIRUVANMIYUR",AC
57F Dlx,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,VYASARPADI,SARMA NAGAR,MOOLAKADAI,MADHAVARAM,CYCLE SHOP,KAVANGARAI,AAYURVEDA ASHRAMAM,RED HILLS,PADIYANALLUR,SEMILIVARAM,SHOLAVARAM,KARANODAI",ORD
E51,"HIGH COURT,CENTRAL,PERIYAR BRIDGE,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VIJAYA NAGAR,MADIPAKKAM RD. JN.,NARAYANAPURAM,MEDAVAKKAM COLONY,VEERABADRA NAGAR,JN.OF MAMBAKKAM & O.BAKKA,CHITLAPAKKAM,ARASANKAZHANI,OTTIAMBAKKAM",EXP
40A Dlx,"ANNA SQUARE,TRIPLICANE,ANNA POORNA HOTEL/DAMS RD,EGMORE,DASAPRAKASH,TAYLORS ROAD,AMINIJIKARAI,ANNA NAGAR CIRCLE,THIRUMANGALAM,MOGAIPAIR ROAD JN.,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI",ORD
17M,"BROADWAY,CENTRAL,P.OR & SONS,T.V.S,GEMINI P.H,VETERINARY HOSPITAL,BHARATHI NAGAR(PERIYAR PA,TRUSTPURAM,VADAPALANI B.S,VIRUGAMBAKKAM,VALASARAVAKKAM,PORUR,AYYAPPAN THANGAL","NGT,ORD,EXP,ORD"
11H AC,"BROADWAY,SECRETARIAT,CHEPAUK,ANNA ROAD P.O./DAMS ROAD,T.V.S,D.M.S,PONDY BAZAAR,ANJUGAM SCHOOL,GOVT. GIRLS H.SC,JN.OF RACE COURSE RD,MUTHUMARIAMMAN KOIL,VIRUGAMBAKKAM,VALASARAVAKKAM,PORUR,AYYAPPAN THANGAL",AC
17K,"BROADWAY,CENTRAL,PERIYAR BRIDGE,EGMORE,MATERNITY HOSPITAL,D.P.I,UTHAMAR GANDHISALAI (CORP,VETERINARY HOSPITAL,TRUSTPURAM,VADAPALANI B.S,DASARATHAPURAM",ORD
M49B,"T.NAGAR,ANJUGAM SCHOOL,GOVT. GIRLS H.SC,Jn.OF P.T.R Rd/KAMARAJ Rd,VADAPALANI B.S,VIRUGAMBAKKAM,VALASARAVAKKAM,PORUR,MOULIVAKKAM,PARANIPUTHUR,MANGADU,KUMUNANCHAVADI,POONAMALLEE",ORD
17G,"BROADWAY,CENTRAL,P.OR & SONS,T.V.S,GEMINI P.H,VETERINARY HOSPITAL,TRUSTPURAM,VADAPALANI B.S,VIRUGAMBAKKAM,ALWAR THIRUNAGAR,ANGALAMMAN KOIL,RAMAPURAM,MOGALIVAKKAM RD. JN.,MOGALIVAKKAM",ORD
17E,"BROADWAY,CENTRAL,PERIYAR BRIDGE,EGMORE,MATERNITY HOSPITAL,D.P.I,UTHAMAR GANDHISALAI (CORP,VETERINARY HOSPITAL,TRUSTPURAM,VADAPALANI B.S,SALIGRAMAN","ORD,EXP"
17D,"BROADWAY,CENTRAL,EGMORE,MATERNITY HOSPITAL,D.P.I,STERLING ROAD,VETERINARY HOSPITAL,TRUSTPURAM,PUDUR HIGH SCHOOL,Jn.OF P.T.R Rd/KAMARAJ Rd,MUTHUMARIAMMAN KOIL,KALAIGNAR NAGAR","ORD,EXP"
17C,"BROADWAY,CENTRAL,EGMORE,MATERNITY HOSPITAL,D.P.I,STERLING ROAD,VETERINARY HOSPITAL,TRUSTPURAM,VADAPALANI B.S,VIRUGAMBAKKAM,VALASARAVAKKAM,PORUR,AYYAPPAN THANGAL",EXP
17B,"BROADWAY,CENTRAL,P.OR & SONS,T.V.S,GEMINI P.H,VETERINARY HOSPITAL,TRUSTPURAM,VADAPALANI B.S,VIRUGAMBAKKAM,VALASARAVAKKAM,PORUR,MOULIVAKKAM,PARANIPUTHUR,MANGADU",ORD
M65E,"POONAMALLEE,KARAYANCAHVADI,SENNEERKUPPAM,MELPAKKAM,GOVARDANAGIRI,VILINJAMBAKKAM AMMAN KOIL,AVADI CIRCLE,POLYTECHNIC,THIRUMULLAIVOAYL,AMB OT,DUNLOP,AMBATHUR ESTATE",ORD
M65B,"POONAMALLEE,KARAYANCAHVADI,SENNEERKUPPAM,MELPAKKAM,GOVARDANAGIRI,AVADI MOSQUE,AVADI CIRCLE,KOILPATHAGAI RD.JN.,POLYTECHNIC,THIRUMULLAIVOAYL,AMB OT,DUNLOP,AMBATHUR ESTATE",ORD
21H Ext Dlx,"THIRUVETRIYUR B.S,THIRUVOTRIYUR TEMPLE,THANGAL,N4 POLICE STATION,ROYAPURAM P.S,CLIVE BATTERY,PARRYS,BROADWAY,SECRETARIAT,CHEPAUK,Q.M.C,FORE SHORE ESTATE,A.M.S.HOSPITAL,ADAYAR O.T.,LATTICE BRIDGE RD. JN.,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,MOOTAKARAN CHAVADI,KARAPAKKAM,SOZHINGANALLUR P.U.OFFICE,KUMARAN NAGAR,CHEMMAN CHERI,NAVALUR,CHURCH,PALAVASTHIC CHEMICALS,HINDUSTAL EGG. COLLEGE,KELAMBAKKAM",ORD
M12B,"VADAPALANI B.S,TRUSTPURAM,BHARATHI NAGAR(PERIYAR PA,PONDY BAZAAR,F.C.I OLD,LUZ,SANTHOME P.O,FORE SHORE ESTATE",ORD
134A,"MOGAPAIR WEST,MOGAPAIR EAST,FIRE STATION,THIRUMANGALAM,ANNA NAGAR CIRCLE,KILPAUK GARDEN,KELLEYS,DOVETON,CENTRAL,REGAL,V. NAGAR,MAHARANI,TONDAIAYRPET,THANGAL,THIRUVOTRIYUR TEMPLE,THIRUVETRIYUR B.S",ORD
45B,"ANNA SQUARE,TRIPLICANE O.T (CORPN. SC,V.HOUSE P.S,Y.M.I.A,LUZ,F.C.I OLD,S.H.B,SAIDAPET,CONCORDE,GUINDY TVK ESTATE",ORD
M65,"POONAMALLEE,KARAYANCAHVADI,SENNEERKUPPAM,MELPAKKAM,GOVARDANAGIRI,AVADI MOSQUE,AVADI",ORD
18B,"HIGH COURT,CENTRAL,P.OR & SONS,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,ENG.COLLEGE,KOTTURPURAM",ORD
65G,"AVADI,KAVARAIPALAYAM,PATTABIRAM,NEMILICHERI,THIRUNINDRAVOOR,NASIC NAGAR,PAKKAM,KESAVA CROSS ROAD,KASANOOR,TAMARAIPAKKAM,ADI DRAVIDAR HOSTEL,VALLIYUR SCHOOL,R.R.KANDIGAI,VILAMBAKKAM,ARUMBAKKAM,ERAIYUR JUNCTION,RAJAPALAYAM,MEYYUR",ORD
65D,"AVADI,KAVARAIPALAYAM,PATTABIRAM,NEMILICHERI,THIRUNINDRAVOOR,NATHAMBEDU ROAD JN.,NATHAMBEDU COLONY,PAKKAM VILLAGE,PULIYUR,PULIYUR KANDIGAI,SIRUKALATHUR,V.S.B.GARDEN,VADHATTUR JN.,MELKONDAIYUR",ORD
18A,"HIGH COURT,CENTRAL,PERIYAR BRIDGE,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM","ORD,NGT"
15,"BROADWAY,CENTRAL,DASAPRAKASH,TAYLORS ROAD,AMINIJIKARAI,BRINDAVAN COLONY,ANNA NAGAR",ORD
578 Dlx,"KUNDRATHUR B.S,KOLLAICHERI,SIKKARAYAPURAM,MANGADU,KUMUNANCHAVADI,POONAMALLEE,NAZARATHPET,CHEMBARAMBAKKAM,PAPPANCHATRAM,CHETTIPEDU,THANDALAM KOOT ROAD,SIPCOT,IRUNKATTUKOTTAI,PENNALUR E.B.,BEEMANTHANGAL,SRIPERUMPUDUR",ORD
18D,"HIGH COURT,CENTRAL,PERIYAR BRIDGE,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY RACE COURCE OFFICE,SECRETARIAT COLONY,ST THOMAS MOUNT,VANUVAMBEDU,MADIPAKKAM RD. JN.,KILKATTALAI","EXP,ORD"
18E,"HIGH COURT,CENTRAL,P.OR & SONS,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,BUTT ROAD,RAMAPURAM,ANGALAMMAN KOIL,RAMAPURAM (L.N.P KOIL)",ORD
